Adj Close;Date;Table Name;Close;High;Low;Open;Volume
$3,982,200.00;5/9/2016;Page    7 Table  1;67975;68698;67141;67395;67975
$4,347,200.00;5/6/2016;Page    7 Table  1;67395;67695;65601;65605;67395
$4,884,100.00;5/5/2016;Page    7 Table  1;65909;67649;65600;67331;65909
$4,635,500.00;5/4/2016;Page    7 Table  1;67090;67400;66214;66259;6709
$4,923,400.00;5/3/2016;Page    7 Table  1;67132;68030;67043;67736;67132
$6,578,500.00;5/2/2016;Page    7 Table  1;68385;68550;66203;66392;68385
$10,310,700.00;4/29/2016;Page    7 Table  1;65959;66998;65400;66600;65959
$7,872,600.00;4/28/2016;Page    7 Table  1;60200;62680;59920;61554;602
$4,068,800.00;4/27/2016;Page    7 Table  1;60657;61595;60128;61180;60657
$2,521,400.00;4/26/2016;Page    7 Table  1;61688;62675;61488;62617;61688
$2,682,900.00;4/25/2016;Page    7 Table  1;62620;62698;61625;61661;6262
$5,083,900.00;4/22/2016;Page    7 Table  1;62050;62825;61156;62447;6205
$2,596,300.00;4/21/2016;Page    7 Table  1;63100;63782;62850;63100;631
$2,609,400.00;4/20/2016;Page    7 Table  1;63299;63655;62300;63000;63299
$4,055,900.00;4/19/2016;Page    7 Table  1;62790;63801;62080;63714;6279
$4,336,400.00;4/18/2016;Page    7 Table  1;63535;63764;62496;62535;63535
$2,887,700.00;4/15/2016;Page    7 Table  1;62589;62677;61811;62192;62589
$3,512,100.00;4/14/2016;Page    7 Table  1;62075;62438;61507;61507;62075
$4,228,300.00;4/13/2016;Page    7 Table  1;61482;61681;60529;60768;61482
$2,641,100.00;4/12/2016;Page    7 Table  1;60317;60406;59231;59840;60317
$2,704,300.00;4/11/2016;Page    7 Table  1;59593;60400;59491;59614;59593
$2,591,900.00;4/8/2016;Page    7 Table  1;59460;59786;58900;59432;5946
$3,189,000.00;4/7/2016;Page    7 Table  1;59143;59960;58908;59876;59143
$2,849,900.00;4/6/2016;Page    7 Table  1;60208;60239;58750;58752;60208
$2,308,900.00;4/5/2016;Page    7 Table  1;58614;59347;58525;59077;58614
$2,470,800.00;4/4/2016;Page    7 Table  1;59319;59950;59055;59900;59319
$2,917,400.00;4/1/2016;Page    7 Table  1;59850;59903;58830;59049;5985
$2,681,800.00;3/31/2016;Page    7 Table  1;59364;60075;59221;59928;59364
$3,890,500.00;3/30/2016;Page    7 Table  1;59869;60324;59500;59671;59869
$4,392,600.00;3/29/2016;Page    7 Table  1;59386;59585;57650;58015;59386
$3,121,500.00;3/28/2016;Page    7 Table  1;57987;58475;57556;58440;57987
$5,185,500.00;3/24/2016;Page    7 Table  1;58295;58355;56708;56711;58295
$3,983,700.00;3/23/2016;Page    7 Table  1;56963;57248;55810;56100;56963
$4,000,600.00;3/22/2016;Page    7 Table  1;56048;56276;54505;54511;56048
$5,155,700.00;3/21/2016;Page    7 Table  1;55398;55524;53858;54891;55398
$7,296,900.00;3/18/2016;Page    7 Table  1;55208;56233;54609;56094;55208
$5,928,100.00;3/17/2016;Page    7 Table  1;55944;57140;55501;56951;55944
$3,537,700.00;3/16/2016;Page    7 Table  1;57427;58132;57114;57664;57427
$3,876,800.00;3/15/2016;Page    7 Table  1;57702;58152;56700;57100;57702
$3,454,200.00;3/14/2016;Page    7 Table  1;57337;57689;56305;56700;57337
$3,771,300.00;3/11/2016;Page    7 Table  1;56961;57006;56273;56695;56961
$3,919,900.00;3/10/2016;Page    8 Table  1;55893;56700;54790;56674;55893
$4,377,300.00;3/9/2016;Page    8 Table  1;55947;56035;55013;55956;55947
$4,730,000.00;3/8/2016;Page    8 Table  1;56026;57135;55474;55787;56026
$4,926,900.00;3/7/2016;Page    8 Table  1;56280;57363;55555;57354;5628
$3,416,500.00;3/4/2016;Page    8 Table  1;57514;58140;57107;58107;57514
$2,741,300.00;3/3/2016;Page    8 Table  1;57749;57987;57311;57796;57749
$4,582,200.00;3/2/2016;Page    8 Table  1;58021;58500;57370;58175;58021
$5,038,500.00;3/1/2016;Page    8 Table  1;57904;57925;55600;55629;57904
$4,145,400.00;2/29/2016;Page    8 Table  1;55252;56481;55251;55400;55252
$4,877,000.00;2/26/2016;Page    8 Table  1;55523;56250;55317;56012;55523
$4,525,500.00;2/25/2016;Page    8 Table  1;55515;55939;54529;55552;55515
$6,231,700.00;2/24/2016;Page    8 Table  1;55404;55427;53315;54575;55404
$4,050,800.00;2/23/2016;Page    8 Table  1;55294;55691;54533;55555;55294
$5,566,600.00;2/22/2016;Page    8 Table  1;55950;56065;54108;54220;5595
$4,974,700.00;2/19/2016;Page    8 Table  1;53490;53595;51535;52071;5349
$4,735,000.00;2/18/2016;Page    8 Table  1;52500;54120;52373;54119;525
$4,824,000.00;2/17/2016;Page    8 Table  1;53410;53748;51939;52874;5341
$5,118,500.00;2/16/2016;Page    8 Table  1;52110;52445;51166;51948;5211
$5,384,800.00;2/12/2016;Page    8 Table  1;50708;51675;50149;51070;50708
$7,397,400.00;2/11/2016;Page    8 Table  1;50382;50930;48400;49117;50382
$6,786,200.00;2/10/2016;Page    8 Table  1;49048;50466;48600;49176;49048
$7,077,900.00;2/9/2016;Page    8 Table  1;48207;49838;47400;47801;48207
$9,825,500.00;2/8/2016;Page    8 Table  1;48810;49350;47521;48647;4881
$9,708,900.00;2/5/2016;Page    8 Table  1;50213;52945;49919;52928;50213
$6,199,100.00;2/4/2016;Page    8 Table  1;53626;53899;51922;52500;53626
$10,048,700.00;2/3/2016;Page    8 Table  1;53107;55600;52190;55350;53107
$6,312,000.00;2/2/2016;Page    8 Table  1;55210;57156;55009;57000;5521
$6,355,100.00;2/1/2016;Page    8 Table  1;57481;58180;57031;57815;57481
$14,677,600.00;1/29/2016;Page    8 Table  1;58700;59300;57000;57198;587
$14,015,200.00;1/28/2016;Page    8 Table  1;63535;63806;59755;60837;63535
$5,152,900.00;1/27/2016;Page    8 Table  1;58335;60339;57878;60199;58335
$3,765,700.00;1/26/2016;Page    8 Table  1;60125;60450;59038;60345;60125
$4,396,100.00;1/25/2016;Page    8 Table  1;59653;60850;59456;59799;59653
$5,120,100.00;1/22/2016;Page    8 Table  1;59638;60010;58411;58873;59638
$4,952,200.00;1/21/2016;Page    8 Table  1;57502;58881;56822;57358;57502
$7,966,400.00;1/20/2016;Page    8 Table  1;57177;57845;54718;56436;57177
$4,807,200.00;1/19/2016;Page    8 Table  1;57448;58400;56645;57709;57448
$7,754,500.00;1/15/2016;Page    8 Table  1;57018;58462;56530;57224;57018
$7,238,000.00;1/14/2016;Page    8 Table  1;59300;60225;56988;58025;593
$7,655,200.00;1/13/2016;Page    8 Table  1;58181;62088;57916;62088;58181
$4,724,100.00;1/12/2016;Page    8 Table  1;61789;62599;61224;62525;61789
$4,891,600.00;1/11/2016;Page    8 Table  1;61774;61985;59857;61248;61774
$5,512,900.00;1/8/2016;Page    8 Table  1;60705;62414;60600;61966;60705
$7,074,900.00;1/7/2016;Page    8 Table  1;60794;63000;60521;62180;60794
$5,329,200.00;1/6/2016;Page    8 Table  1;63265;63979;62031;62200;63265
$5,822,600.00;1/5/2016;Page    8 Table  1;63379;64691;62765;64686;63379
$9,314,500.00;1/4/2016;Page    8 Table  1;63699;65772;62751;65629;63699
